# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE76483|other_multiomics|Mus musculus|192|GSE76483_FPKM_table.txt.gz(2MB), GSE76483_matched_genebody_methylation.txt.gz(580KB), GSE76483_matched_promoter_methylation.txt.gz(469KB), GSE76483_Read_count_merged_table_GSM2099935-GSM2099952.txt.gz(298KB)|neuroscience,development|Simultaneous profiling of transcriptome and DNA methylome from a single cell|developed new sequencing method simultaneously sequence mouse DRG neurons|multiomics
GSE243508|cite_seq|Mus musculus|12|GSE243508_ADT_antibodies.xlsx(9KB), GSE243508_RAW.tar(193MB)|cancer,development,reproduction,gene_regulation|TRPS1 maintains luminal progenitors in the mammary gland by repressing SRF/MRTF activity [02_citeseq_shTRPS1_mmg]|GATA transcription factor context-dependent oncogene breast cancer restricted population sustains initial branching ducts puberty lactogenic differentiation pregnancy resting evaluate target therapy|multiomics
GSE267806|other_multiomics|Homo sapiens|6|GSE267806_RAW.tar(292MB)|cancer,development,metabolism,skeletal_muscle,gene_regulation|Single-cell multiomics profiling reveals heterogeneous transcriptional programs and microenvironment in Desmoplastic Small Round Cell Tumors [Visium: Spatial transcriptomics]|DSRCT rare aggressive sarcoma driven EWSR1-WT1 chimeric factor Despite unique oncogenic driver displays polyphenotypic differentiation unknown causality multi-omics samples patients cells cluster|multiomics
GSE243005|cite_seq|Homo sapiens|18|GSE243005_scRNAseq_2DGaK_sample_feature_bc_matrix_barcodes.tsv.gz(28KB), GSE243005_scRNAseq_2DGaK_sample_feature_bc_matrix_features.tsv.gz(326KB), GSE243005_scRNAseq_2DGaK_sample_feature_bc_matrix_matrix.mtx.gz(58MB), GSE243005_scRNAseq_2DG_sample_feature_bc_matrix_barcodes.tsv.gz(23KB), GSE243005_scRNAseq_2DG_sample_feature_bc_matrix_features.tsv.gz(326KB), GSE243005_scRNAseq_2DG_sample_feature_bc_matrix_matrix.mtx.gz(48MB), GSE243005_scRNAseq_AOAaK_filtered_feature_bc_matrix_barcodes.tsv.gz(33KB), GSE243005_scRNAseq_AOAaK_filtered_feature_bc_matrix_features.tsv.gz(326KB), GSE243005_scRNAseq_AOAaK_filtered_feature_bc_matrix_matrix.mtx.gz(83MB), GSE243005_scRNAseq_AOA_filtered_feature_bc_matrix_barcodes.tsv.gz(28KB), GSE243005_scRNAseq_AOA_filtered_feature_bc_matrix_features.tsv.gz(326KB), GSE243005_scRNAseq_AOA_filtered_feature_bc_matrix_matrix.mtx.gz(47MB), GSE243005_scRNAseq_CTRL2_filtered_feature_bc_matrix_barcodes.tsv.gz(44KB), GSE243005_scRNAseq_CTRL2_filtered_feature_bc_matrix_features.tsv.gz(326KB), GSE243005_scRNAseq_CTRL2_filtered_feature_bc_matrix_matrix.mtx.gz(70MB), GSE243005_scRNAseq_CTRLaK_sample_feature_bc_matrix_barcodes.tsv.gz(28KB), GSE243005_scRNAseq_CTRLaK_sample_feature_bc_matrix_features.tsv.gz(326KB), GSE243005_scRNAseq_CTRLaK_sample_feature_bc_matrix_matrix.mtx.gz(57MB), GSE243005_scRNAseq_CTRL_sample_feature_bc_matrix_barcodes.tsv.gz(33KB), GSE243005_scRNAseq_CTRL_sample_feature_bc_matrix_features.tsv.gz(326KB), GSE243005_scRNAseq_CTRL_sample_feature_bc_matrix_matrix.mtx.gz(87MB), GSE243005_scRNAseq_DONaK_sample_feature_bc_matrix_barcodes.tsv.gz(22KB), GSE243005_scRNAseq_DONaK_sample_feature_bc_matrix_features.tsv.gz(326KB), GSE243005_scRNAseq_DONaK_sample_feature_bc_matrix_matrix.mtx.gz(41MB), GSE243005_scRNAseq_DON_sample_feature_bc_matrix_barcodes.tsv.gz(22KB), GSE243005_scRNAseq_DON_sample_feature_bc_matrix_features.tsv.gz(326KB), GSE243005_scRNAseq_DON_sample_feature_bc_matrix_matrix.mtx.gz(52MB)|development,metabolism,epigenetics,hematopoiesis,drug_response|Metabolic adaptation pilots the differentiation of human hematopoietic cells (scRNA-Seq and CITE-Seq)|order get insight perturbations first steps phenotype gene expression profile chromatin accessibility CD34 bulk single-cell techniques initial hours vitro Specific enzyme inhibitors targeting key|multiomics
GSE267982|other_multiomics|Mus musculus|8|GSE267982_RAW.tar(8.4GB)|cancer,development,metabolism,crispr_gene_editing,plant_biology,liver|​​​​In vivo interaction screening reveals liver-derived constraints to metastasis [Single Cell Multiome ATAC + Gene Expression]|estimated disseminated tumor cells able seed overt metastases1 While presence environmental metastatic seeding landscape host factors controlling process largely unknown Combining transposon|multiomics
GSE248899|cite_seq|Mus musculus|2|GSE248899_barcodes.tsv.gz(1MB), GSE248899_Eo_Baso_Ery_CD55p_myeloid_progenitors.rds.gz(9MB), GSE248899_feature_reference.xlsx(9KB), GSE248899_features.tsv.gz(255KB), GSE248899_matrix.mtx.gz(6MB)|immunology,development,skeletal_muscle,hematopoiesis|Gene expression profile at single cell level of fixed CD55+ myeloid progenitors|Murine bone marrow submitted Flex ScRNA-seq CITE-seq order investigate eosinophil ontogeny development|multiomics
GSE267680|spatial_multiomics|Homo sapiens|5|[GEO:TAR]|cancer,development,aging|PanIN and CAF Transitions in Pancreatic Carcinogenesis Revealed with Spatial Data Integration [Xenium]|introduces new imaging transcriptomics single-cell RNA-sequencing scRNA-seq pipeline characterize neoplastic cell state tumorigenesis semi-supervised applied examine intraepithelial neoplasias most|multiomics
GSE260833|other_multiomics|Homo sapiens|22|GSE260833_RL10-RL08.tar.gz(586MB), GSE260833_RL15-RL13.tar.gz(1.7GB), GSE260833_RL16-RL14.tar.gz(1.8GB), GSE260833_RL27-RL25.tar.gz(2.3GB), GSE260833_RL28-RL26.tar.gz(2.6GB), GSE260833_RL33-RL31.tar.gz(2.0GB), GSE260833_RL34-RL32.tar.gz(2.2GB), GSE260833_RL39-RL37.tar.gz(3.3GB), GSE260833_RL40-RL38.tar.gz(3.5GB), GSE260833_RL45-RL43.tar.gz(3.1GB), GSE260833_RL46-RL44.tar.gz(2.9GB)|immunology,gut_intestine|Multimodal single cell analyses reveal mechanisms of perianal fistula in diverse Crohn’s disease [Multiome]|chronic inflammatory condition affect part gastrointestinal tract African ancestry populations substantially under-represented genome-wide association GWAS bowel IBD reflecting lower prevalence|multiomics
GSE247488|cite_seq|Homo sapiens|15|GSE247488_ADT_HTO_details_README.txt(2KB), GSE247488_B-cells_1_airr_rearrangement.tsv.gz(3MB), GSE247488_B-cells_1_clonotypes.csv.gz(146KB), GSE247488_B-cells_2_airr_rearrangement.tsv.gz(4MB), GSE247488_B-cells_2_clonotypes.csv.gz(196KB), GSE247488_B-cells_3_airr_rearrangement.tsv.gz(4MB), GSE247488_B-cells_3_clonotypes.csv.gz(151KB), GSE247488_B-cells_4_airr_rearrangement.tsv.gz(4MB), GSE247488_B-cells_4_clonotypes.csv.gz(155KB), GSE247488_B-cells_5_airr_rearrangement.tsv.gz(4MB), GSE247488_B-cells_5_clonotypes.csv.gz(161KB), GSE247488_features.tsv.gz(326KB), GSE247488_matrix_B-cells_1.csv.gz(21MB), GSE247488_matrix_B-cells_2.csv.gz(28MB), GSE247488_matrix_B-cells_3.csv.gz(31MB), GSE247488_matrix_B-cells_4.csv.gz(29MB), GSE247488_matrix_B-cells_5.csv.gz(26MB)|immunology,infectious_disease,kidney,microbiology|Non-classical CD45RBlo memory B-cells are the majority of circulating antigen-specific B-cells following mRNA vaccination and COVID-19 infection.|Resting divided groups differential expression markers CD27 CD11c while activated express combination making ontogeny hard determine longitudinal bacterial sepsis BNT162b2 vaccine recipients mass|multiomics
GSE253586|cite_seq|Mus musculus|3|GSE253586_RAW.tar(296MB)|cancer,immunology,neuroscience,development,metabolism,cell_stress|A Lactate-induced SREBF2-dependent genetic program drives an immunotolerant dendritic cell population during cancer progression [CITEseq]|cells cDCs essential mediators anti-tumor immunity Cancers developed render DCs dysfunctional within tumor microenvironment Utilizing CD63 unique surface marker mature regulatory mregDCs suppress|multiomics
GSE203251|other_multiomics|Homo sapiens|28|GSE203251_MetadataMultiplexing.csv.gz(2MB), GSE203251_MetadataPatients.csv.gz(8MB), GSE203251_RAW.tar(37.7GB)|epigenetics,fibrosis_wound,cell_stress|Mapping genotypes to chromatin accessibility profiles in single cells [scATAC-seq; Pt01-19;Pt-02 DOGMAseq]|Processed sequencing myelofibrosis patients raw mixing experiments|multiomics
GSE237448|multiome|Homo sapiens|13|GSE237448_RAW.tar(13.3GB)|immunology,metabolism,cell_stress|Identification of unique cell type responses in pancreatic islets to stress|single sequenced multiplexed primary human treated vivo inflammatory chemicals indexed specific genes regulate SC-islets reduce apoptosis conducted multiomic ATAC RNA sequencing BFA DMSO IL1B IFNG|multiomics
GSE266111|cite_seq|Mus musculus|12|GSE266111_RAW.tar(83MB)|immunology,cell_stress|The tissue-resident regulatory T cell pool is shaped by transient multi-tissue migration and a conserved residency program. scRNA-Seq profiling of mouse tissue Tregs with TCR sequencing and CITE-Seq|tissues site many important immunological reactions immune system controlled sites opaque Recent Foxp3 cells non-lymphoid unique characteristics lymphoid considered holistically across systematic|multiomics
GSE243609|other_multiomics|Mus musculus|6|GSE243609_RAW.tar(2.8GB)|cancer,epigenetics|Dynamic Chromatin Alteration Induces Oncogenic Hijacking by Essential Transcriptional Factors during Medulloblastoma Tumorigenesis [Multiome]|ATAC-seq GNPs MBSHH discovered massive modification accessibility formation Next integrative bioinformatics nuclear NFI family oncogenes epigenome early stages murine MBSHHs genetic silencing|multiomics
GSE266385|other_multiomics|Homo sapiens|9|GSE266385_GEX_1_demuxlet_merged.clust1.samples.txt.gz(240KB), GSE266385_GEX_1_demuxlet_merged.clust1.vcf.gz(2MB), GSE266385_GEX_2_demuxlet_merged.clust1.samples.txt.gz(250KB), GSE266385_GEX_2_demuxlet_merged.clust1.vcf.gz(2MB), GSE266385_RAW.tar(72MB)|drug_response|A scalable, low cost, multi-omic interrogation and sample hashing workflow for single-cell analysis using the Seq-Well S3 platform|Clinical samples promise unparalleled insights cellular underlie pathological conditions therapeutic responses often precious few cells available necessitating effort maximize amount information|multiomics
GSE232022|cite_seq|Mus musculus|2|GSE232022_Control.barcodes.tsv.gz(20KB), GSE232022_Control.features.tsv.gz(285KB), GSE232022_Control.matrix.mtx.gz(62MB), GSE232022_IC.barcodes.tsv.gz(20KB), GSE232022_IC.features.tsv.gz(285KB), GSE232022_IC.matrix.mtx.gz(63MB)|cancer,development,cardiovascular,aging,hematopoiesis|CITE-seq of LSK cells from aged mice after long-term iron chelator regimen|chelation restored functional defects HSC engraftment potential platelet bias gain molecular insights iron-dependent sustaining identity aging Cellular Indexing Transcriptomes Epitopes Sequencing|multiomics
GSE205376|cite_seq|Mus musculus|12|GSE205376_INF_Female_GEX_filtered_feature_bc_matrix-2.h5(8MB), GSE205376_INF_Female_SP_filtered_feature_bc_matrix.h5(42KB), GSE205376_INF_Female_VDJ_filtered_contig_annotations.csv.gz(1MB), GSE205376_INF_Male_GEX_filtered_feature_bc_matrix.h5(30MB), GSE205376_INF_Male_VDJ_filtered_contig_annotations.csv.gz(1MB), GSE205376_UNINF_Female_GEX_filtered_feature_bc_matrix.h5(25MB), GSE205376_UNINF_Female_VDJ_filtered_contig_annotations.csv.gz(1MB), GSE205376_UNINF_Male_GEX_filtered_feature_bc_matrix.h5(20MB), GSE205376_UNINF_Male_VDJ_filtered_contig_annotations.csv.gz(1MB)|immunology,infectious_disease|Maternal Schistosomiasis 14 days post immunization draining lymph node V(D)J scRNAseq|sequencing transcriptional cell receptor repertoire differences germinal center mice born mothers chronically infected Schistosoma mansoni Cite-seq help identify antigen specific cells|multiomics
GSE203389|cite_seq|Mus musculus|4|GSE203389_RAW.tar(630MB)|immunology,infectious_disease,skeletal_muscle,hematopoiesis|Maternal and Chronic Schistosoma Infection Bone Marrow B cell scRNAseq|sequencing transcriptional differences early populations mice born mothers chronically infected mansoni Cite-seq help identify cluster types surface protein markers|multiomics
GSE202403|cite_seq|Mus musculus|10|GSE202403_RAW.tar(63MB)|immunology,infectious_disease,skeletal_muscle,hematopoiesis|Maternal Schistosomiasis Bone Marrow B Cell V(D)J scRNAseq|sequencing transcriptional receptor repertoire differences maturing cells mice born mothers chronically infected Schistosoma mansoni Cite-seq help identify subpopulations|multiomics
GSE200554|cite_seq|Mus musculus|10|GSE200554_RAW.tar(291MB)|immunology,infectious_disease,skeletal_muscle,hematopoiesis|Maternal Schistosomaisis Early bone marrow B cell scRNA CITEseq|sequencing transcriptional differences populations mice born mothers chronically infected mansoni Cite-seq help identify cluster types surface protein markers|multiomics
GSE230765|multiome|Mus musculus|16|GSE230765_scATAC_peak_barcodes.txt.gz(266KB), GSE230765_scATAC_peak_features.txt.gz(657KB), GSE230765_scATAC_peak_filtered_scATAC_peak.mtx.gz(536MB), GSE230765_scATAC_peak_meta.txt.gz(398KB), GSE230765_scATAC_TSSwindow_barcodes.txt.gz(266KB), GSE230765_scATAC_TSSwindow_features.txt.gz(146KB), GSE230765_scATAC_TSSwindow_filtered_scATAC_TSSwindow.mtx.gz(974MB), GSE230765_scATAC_TSSwindow_meta.txt.gz(398KB), GSE230765_scRNA_barcodes.txt.gz(266KB), GSE230765_scRNA_features.txt.gz(106KB), GSE230765_scRNA_filtered_scRNA.mtx.gz(316MB), GSE230765_scRNA_meta.txt.gz(398KB)|neuroscience|Best practices for differential accessibility analysis in   single-cell epigenomics|submission dataset single-nucleus multi-omics uninjured injured spinal cords mice harvested profiled 10x Multiome ATAC Gene Expression kit|multiomics
GSE208742|other_multiomics|Mus musculus|64|GSE208742_GFP_ATAC_peaks.bed.gz(3MB), GSE208742_GFP_D2.bw(567MB), GSE208742_Ngn2_ATAC_peaks.bed.gz(3MB), GSE208742_Ngn2_chip_D2.bw(447MB), GSE208742_Ngn2_ChIP_peaks.bed.gz(636KB), GSE208742_Ngn2_D2.bw(576MB), GSE208742_Pereira_et_al_2022_GEO.xlsx(61KB), GSE208742_PmutNgn2_ATAC_peaks.bed.gz(3MB), GSE208742_PmutNgn2_D2.bw(636MB), GSE208742_RAW.tar(26.7GB), GSE208742_Yy1_KO_ATAC_merge.bw(155MB), GSE208742_Yy1_KO_ATAC_peaks.bed.gz(2MB), GSE208742_Yy1_KO_ATAC_rep1.bw(100MB), GSE208742_Yy1_KO_ATAC_rep2.bw(82MB), GSE208742_Yy1_KO_barcodes.tsv.gz(20KB), GSE208742_Yy1_KO_features.tsv.gz(187KB), GSE208742_Yy1_KO_matrix.mtx.gz(52MB), GSE208742_Yy1_KO_Ngn2+_ATAC_merge.bw(219MB), GSE208742_Yy1_KO_Ngn2+_ATAC_peaks.bed.gz(2MB), GSE208742_Yy1_KO_Ngn2+_ATAC_rep1.bw(171MB), GSE208742_Yy1_KO_Ngn2+_ATAC_rep2.bw(80MB), GSE208742_Yy1_KO_Ngn2+_barcodes.tsv.gz(20KB), GSE208742_Yy1_KO_Ngn2+_features.tsv.gz(187KB), GSE208742_Yy1_KO_Ngn2+_matrix.mtx.gz(43MB), GSE208742_Yy1_WT_ATAC_merge.bw(164MB), GSE208742_Yy1_WT_ATAC_peaks.bed.gz(2MB), GSE208742_Yy1_WT_ATAC_rep1.bw(132MB), GSE208742_Yy1_WT_ATAC_rep2.bw(63MB), GSE208742_Yy1_WT_barcodes.tsv.gz(21KB), GSE208742_Yy1_WT_features.tsv.gz(187KB), GSE208742_Yy1_WT_matrix.mtx.gz(50MB), GSE208742_Yy1_WT_Ngn2+_ATAC_merge.bw(136MB), GSE208742_Yy1_WT_Ngn2+_ATAC_peaks.bed.gz(2MB), GSE208742_Yy1_WT_Ngn2+_ATAC_rep1.bw(81MB), GSE208742_Yy1_WT_Ngn2+_ATAC_rep2.bw(77MB), GSE208742_Yy1_WT_Ngn2+_barcodes.tsv.gz(22KB), GSE208742_Yy1_WT_Ngn2+_features.tsv.gz(187KB), GSE208742_Yy1_WT_Ngn2+_matrix.mtx.gz(49MB)|neuroscience,development,epigenetics,fibrosis_wound,signal_transduction|Direct neuronal reprogramming of mouse astrocytes is associated with multiscale epigenome remodeling and requires Yy1|promising approach regenerate neurons local glial cells co-factors facilitating process combine single-cell multiomics genome-wide profiling nuclear architecture DNA methylation astrocyte-to-neuron|multiomics
GSE221946|multiome|Homo sapiens|4|GSE221946_RAW.tar(134MB)|cancer,development,epigenetics,fibrosis_wound,hematopoiesis,cell_stress|Single-Cell ATAC+RNAseq from CD34+ cells of a Primary Myelofibrosis patient evolved to secondary Acute Myeloid Leukemia|characterize impact chromatin remodelers mutations MPN onset development identify regulatory elements driving gene expression modulations disease progression single-nucleus coupled ATACseq experiment|multiomics
GSE216594|cite_seq|Mus musculus|4|GSE216594_RAW.tar(47MB)|development,cardiovascular|Transcriptomic heterogeneity of endothelial cells during devleopmental angiogenesis|Efficient formation new blood vessels pre-existing underlie tissue growth development mouse ear dramatically expand neonatal stage meet needs postnatal clear transcriptome level lining innermost|multiomics
GSE235510|other_multiomics|Arabidopsis thaliana|12|GSE235510_RAW.tar(2.2GB)|development,plant_biology,cell_stress|Multiome in the same cell revealed the impact of osmotic stress on Arabidopsis root tip development at single-cell level|SuperSeries composed SubSeries listed|multiomics
GSE259352|cite_seq|Homo sapiens|4|GSE259352_filtered_feature_bc_matrix.tar.gz(233MB)|cancer,immunology|Pooled screening for CAR function in glioblastoma|Human primary CD3 cells expressing IL13Ra2-targeted chimeric antigen receptors CARs high throughput rechallenged IL13Ra2 cell line stained CITESEQ antibodies indicative memory exhaustion state|multiomics
GSE244585|other_multiomics|Homo sapiens|32|GSE244585_Ashkenazi_NormalBreastSample_multiome_Pool1_per_barcode_metrics.csv.gz(13MB), GSE244585_KTBpool11_per_barcode_metrics.csv.gz(15MB), GSE244585_KTBpool12_per_barcode_metrics.csv.gz(16MB), GSE244585_KTBpool_13_per_barcode_metrics.csv.gz(15MB), GSE244585_KTBpool_14_per_barcode_metrics.csv.gz(16MB), GSE244585_KTBpool15_Asian_per_barcode_metrics.csv.gz(16MB), GSE244585_KTBpool17_Asian_per_barcode_metrics.csv.gz(16MB), GSE244585_KTBpool-23_Hispanic_per_barcode_metrics.csv.gz(13MB), GSE244585_KTBpool-25_Hispanic_per_barcode_metrics.csv.gz(13MB), GSE244585_KTB_pool-3_per_barcode_metrics.csv.gz(11MB), GSE244585_KTB_pool-4_per_barcode_metrics.csv.gz(16MB), GSE244585_KTBpool5_Ashkenazi_jew_per_barcode_metrics.csv.gz(11MB), GSE244585_KTBpool6_Ashkenazi_jew_per_barcode_metrics.csv.gz(15MB), GSE244585_KTBpool9_per_barcode_metrics.csv.gz(16MB), GSE244585_Pool7_BRCA2Positive_per_barcode_metrics.csv.gz(15MB), GSE244585_Pool8_BRCA1Positive_per_barcode_metrics.csv.gz(15MB), GSE244585_RAW.tar(41.9GB)|immunology,development,epigenetics,gene_regulation|Single nuclei chromatin accessibility and transcriptomic map of breast tissues of women of diverse genetic ancestry [10X single-cell multiome]|allowing robust classification types organ helps establish relationships cell-type specific expression status regulatory regions healthy donors various developed comprehensive atlas human Integrated|multiomics
GSE252331|cite_seq|Homo sapiens|34|GSE252331_RAW.tar(517MB)|cancer,immunology,development,infectious_disease,hematopoiesis|The post-septic peripheral myeloid compartment reveals unexpected diversity in myeloid-derived suppressor cells|Sepsis engenders distinct host immunologic changes include expansion MDSCs play physiologic tempering acute inflammatory responses persist patients develop chronic critical illness origins lineage|multiomics
GSE263523|other_multiomics|Homo sapiens|72|GSE263523_RAW.tar(14.7GB)|cancer|Single-cell multiomics profiling reveals heterogeneous transcriptional programs and microenvironment in Desmoplastic Small Round Cell Tumors|SuperSeries composed SubSeries listed|multiomics
GSE263522|other_multiomics|Homo sapiens|1|GSE263522_RAW.tar(1.4GB)|cancer,development,metabolism,skeletal_muscle,gene_regulation|Single-cell multiomics profiling reveals heterogeneous transcriptional programs and microenvironment in Desmoplastic Small Round Cell Tumors [snMultiome]|DSRCT rare aggressive sarcoma driven EWSR1-WT1 chimeric factor Despite unique oncogenic driver displays polyphenotypic differentiation unknown causality multi-omics samples patients cells cluster|multiomics
GSE251907|cite_seq|Mus musculus|6|GSE251907_G3_2_filtered_feature_bc_matrix.tar.gz(38MB), GSE251907_G3_2_molecule_info.h5(236MB), GSE251907_G4_2_filtered_feature_bc_matrix.tar.gz(23MB), GSE251907_G4_2_molecule_info.h5(141MB)||scRNA-seq of mouse CD45+ aortic cells with CITE-seq and cell Hashing after continuous or alternate diet||multiomics
GSE253903|cite_seq|Homo sapiens|12|GSE253903_RAW.tar(396MB)|cardiovascular,cell_stress|High-Dimensional Single-Cell Multimodal Landscape of Human Carotid Atherosclerosis [scRNA-seq]|Atherosclerotic plaques complex tissues composed heterogeneous mixture cells understanding comprehensive transcriptional phenotypical within lesions limited characterize greater detail combined|multiomics
GSE253902|cite_seq|Homo sapiens|12|GSE253902_RAW.tar(214MB), GSE253902_Samples_ADT_barcodesequences.txt.gz(3KB)|cardiovascular,cell_stress|High-Dimensional Single-Cell Multimodal Landscape of Human Carotid Atherosclerosis [CITE-seq]|Atherosclerotic plaques complex tissues composed heterogeneous mixture cells understanding comprehensive transcriptional phenotypical within lesions limited characterize greater detail combined|multiomics
GSE246779|cite_seq|Mus musculus|24|GSE246779_RBM022_sample1_barcodes.tsv.gz(19KB), GSE246779_RBM022_sample1_features.tsv.gz(256KB), GSE246779_RBM022_sample1_matrix.mtx.gz(26MB), GSE246779_RBM022_sample2_barcodes.tsv.gz(21KB), GSE246779_RBM022_sample2_features.tsv.gz(256KB), GSE246779_RBM022_sample2_matrix.mtx.gz(27MB), GSE246779_RBM022_sample3_barcodes.tsv.gz(17KB), GSE246779_RBM022_sample3_features.tsv.gz(256KB), GSE246779_RBM022_sample3_matrix.mtx.gz(29MB), GSE246779_RBM023_sample1_barcodes.tsv.gz(15KB), GSE246779_RBM023_sample1_features.tsv.gz(256KB), GSE246779_RBM023_sample1_matrix.mtx.gz(19MB), GSE246779_RBM023_sample2_barcodes.tsv.gz(14KB), GSE246779_RBM023_sample2_features.tsv.gz(256KB), GSE246779_RBM023_sample2_matrix.mtx.gz(19MB), GSE246779_RBM023_sample3_barcodes.tsv.gz(10KB), GSE246779_RBM023_sample3_features.tsv.gz(256KB), GSE246779_RBM023_sample3_matrix.mtx.gz(13MB), GSE246779_RBM024_sample1_barcodes.tsv.gz(11KB), GSE246779_RBM024_sample1_features.tsv.gz(256KB), GSE246779_RBM024_sample1_matrix.mtx.gz(15MB), GSE246779_RBM024_sample2_barcodes.tsv.gz(12KB), GSE246779_RBM024_sample2_features.tsv.gz(256KB), GSE246779_RBM024_sample2_matrix.mtx.gz(15MB), GSE246779_RBM024_sample3_barcodes.tsv.gz(16KB), GSE246779_RBM024_sample3_features.tsv.gz(256KB), GSE246779_RBM024_sample3_matrix.mtx.gz(21MB), GSE246779_RBM025_sample1_barcodes.tsv.gz(14KB), GSE246779_RBM025_sample1_features.tsv.gz(256KB), GSE246779_RBM025_sample1_matrix.mtx.gz(16MB), GSE246779_RBM025_sample2_barcodes.tsv.gz(8KB), GSE246779_RBM025_sample2_features.tsv.gz(256KB), GSE246779_RBM025_sample2_matrix.mtx.gz(9MB), GSE246779_RBM025_sample3_barcodes.tsv.gz(13KB), GSE246779_RBM025_sample3_features.tsv.gz(256KB), GSE246779_RBM025_sample3_matrix.mtx.gz(15MB), GSE246779_RBM032_sample1_barcodes.tsv.gz(20KB), GSE246779_RBM032_sample1_features.tsv.gz(256KB), GSE246779_RBM032_sample1_matrix.mtx.gz(24MB), GSE246779_RBM032_sample2_barcodes.tsv.gz(19KB), GSE246779_RBM032_sample2_features.tsv.gz(256KB), GSE246779_RBM032_sample2_matrix.mtx.gz(23MB), GSE246779_RBM032_sample3_barcodes.tsv.gz(23KB), GSE246779_RBM032_sample3_features.tsv.gz(256KB), GSE246779_RBM032_sample3_matrix.mtx.gz(28MB), GSE246779_RBM033_sample1_barcodes.tsv.gz(8KB), GSE246779_RBM033_sample1_features.tsv.gz(256KB), GSE246779_RBM033_sample1_matrix.mtx.gz(10MB), GSE246779_RBM033_sample2_barcodes.tsv.gz(19KB), GSE246779_RBM033_sample2_features.tsv.gz(256KB), GSE246779_RBM033_sample2_matrix.mtx.gz(25MB), GSE246779_RBM033_sample3_barcodes.tsv.gz(10KB), GSE246779_RBM033_sample3_features.tsv.gz(256KB), GSE246779_RBM033_sample3_matrix.mtx.gz(14MB), GSE246779_RBM042_sample1_barcodes.tsv.gz(13KB), GSE246779_RBM042_sample1_features.tsv.gz(256KB), GSE246779_RBM042_sample1_matrix.mtx.gz(19MB), GSE246779_RBM042_sample2_barcodes.tsv.gz(16KB), GSE246779_RBM042_sample2_features.tsv.gz(256KB), GSE246779_RBM042_sample2_matrix.mtx.gz(23MB), GSE246779_RBM042_sample3_barcodes.tsv.gz(18KB), GSE246779_RBM042_sample3_features.tsv.gz(256KB), GSE246779_RBM042_sample3_matrix.mtx.gz(26MB), GSE246779_RBM043_sample1_barcodes.tsv.gz(14KB), GSE246779_RBM043_sample1_features.tsv.gz(256KB), GSE246779_RBM043_sample1_matrix.mtx.gz(17MB), GSE246779_RBM043_sample2_barcodes.tsv.gz(17KB), GSE246779_RBM043_sample2_features.tsv.gz(256KB), GSE246779_RBM043_sample2_matrix.mtx.gz(21MB), GSE246779_RBM043_sample3_barcodes.tsv.gz(12KB), GSE246779_RBM043_sample3_features.tsv.gz(256KB), GSE246779_RBM043_sample3_matrix.mtx.gz(15MB)|development,cardiovascular,skeletal_muscle,cell_stress|Single-cell multimodal profiling of atherosclerosis identifies CD200 as a cell surface lineage marker of vascular smooth muscle cells and their derived cells|VSMCs play central development due part capability phenotypically transition either protective harmful state ability identify trace progeny vivo limited lack well-defined VSMC markers investigations|multiomics
GSE190564|cite_seq|Homo sapiens|62|GSE190564_processed_data.tar.gz(11.1GB)|immunology,gut_intestine,cell_stress,cell_cycle|Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis -  whole tissue scRNA-Seq|Adult inflammatory bowel disease incompletely understood combine unbiased single-cell sequencing gene expression profiling CITE-seq derived cell surface protein TCR BCR sequence transcriptomics|multiomics
GSE189754|cite_seq|Homo sapiens|15|GSE189754_processed_data.tar.gz(4.7GB)|immunology,gut_intestine,cell_stress,cell_cycle|Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis - CD45 scRNA-Seq|Adult inflammatory bowel disease incompletely understood combine unbiased single-cell sequencing gene expression profiling CITE-seq derived cell surface protein TCR BCR sequence transcriptomics|multiomics
GSE189184|cite_seq|Homo sapiens|16|GSE189184_RAW.tar(8.7GB)|immunology,gut_intestine,cell_stress,cell_cycle|Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis - Spatial Transcriptomics|Adult inflammatory bowel disease incompletely understood combine unbiased single-cell RNA sequencing gene expression profiling CITE-seq derived cell surface protein TCR BCR sequence interrogate|multiomics
