# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE272760|single-nucleus|Homo sapiens|12|GSE272760_all_new_SCT_harmony_res0.1_v1.rds.gz(6.1GB)|neuroscience,signal_transduction|Transcriptomic changes in oligodendrocytes and precursor cells predicts clinical outcomes of Parkinson's disease|Several prior proposed involvement various brain regions types pathology snRNA-seq prefrontal cortex anterior cingulate post-mortem control tissue association ODCs OPCs PD-linked risk loci report|
GSE252106|single-nucleus|Homo sapiens|8|GSE252106_AKIatac_SeuratObject_metadata.csv.gz(5MB), GSE252106_AKIcontAggr_filtered_peak_bc_matrix.h5(921MB), GSE252106_AKIcontAggr_fragments.tsv.gz(17.6GB), GSE252106_AKIcontAggr_fragments.tsv.gz.tbi.gz(3MB), GSE252106_AKIrna_SeuratObject_metadata.csv.gz(3MB), GSE252106_RAW.tar(10.5GB)|epigenetics,kidney|Single Cell Chromatin Accessibility Profiling on the human kidneys with acute kidney injury|paired nucleus RNA-seq snRNA-seq ATAC-seq snATAC-seq generate multimodal atlas AKI|
GSE239442|single-nucleus|Sus scrofa|6|GSE239442_RAW.tar(186MB)|metabolism,aging,kidney,rna_biology|Kidney tissue pipeline for multi-omics and histological analysis|Biobanking clinically obtained biopsies later approaches single cell technologies proteomics metabolomics different types imaging inevitable step overcome need disease model systems towards|
GSE235529|single-nucleus|Homo sapiens|10|GSE235529_RAW.tar(230MB), GSE235529_README.txt(421B)|metabolism,aging,skin,cell_stress|snRNA-Seq from Younger and Older human abdominal subcutaneous white adipose tissue|Abstract WAT robust energy storage endocrine organ critical maintaining metabolic health age aim identify cell-specific transcriptional aberrations occur aging leveraged full-length histology|
GSE270706|single-nucleus|Mus musculus|1|GSE270706_RAW.tar(82MB), GSE270706_UCP1KO_CE4.rds.gz(527MB)|metabolism,skin,signal_transduction|Single Nucleus Transcriptomics Identifies Separate Classes of UCP1 and Futile Cycle Adipocytes [mouse snRNA-Seq Ucp1KO]|Adipose tissue recruit catabolic utilize chemical energy dissipate heat process occurs either uncoupled respiration uncoupling protein utilizing ATP-dependent cycles FCs pathways coexist since|
GSE233158|single-nucleus|Rattus norvegicus|3|GSE233158_RAW.tar(290MB)|cancer,cardiovascular,skeletal_muscle|snRNAseq RAT HEART WT BMD and DMD 12months|Unrevealing Tmem65-Connexin43 cardiac alterations novel preclinical Becker muscular dystrophy animal model|
GSE184707|single-nucleus|Homo sapiens; Mus musculus|8|GSE184707_RAW.tar(1.8GB)|metabolism|Single Nucleus Transcriptomics Identifies Separate Classes of UCP1 and Futile Cycle Adipocytes|SuperSeries composed SubSeries listed|
GSE184706|single-nucleus|Mus musculus|3|GSE184706_integrated_rt_ce4_ce7.rds.gz(1.6GB), GSE184706_RAW.tar(932MB)|metabolism,skin,signal_transduction|Single Nucleus Transcriptomics Identifies Separate Classes of UCP1 and Futile Cycle Adipocytes [mouse snRNA-seq]|Adipose tissue recruit catabolic utilize chemical energy dissipate heat process occurs either uncoupled respiration uncoupling protein utilizing ATP-dependent cycles FCs pathways coexist since|
GSE184687|single-nucleus|Homo sapiens|4|GSE184687_barcodes.tsv.gz(18MB), GSE184687_features.tsv.gz(170KB), GSE184687_human_subcutaneous_AT.rds.gz(644MB), GSE184687_RAW.tar(873MB)|metabolism,skin,signal_transduction|Single Nucleus Transcriptomics Identifies Separate Classes of UCP1 and Futile Cycle Adipocytes [human snRNA-seq]|Adipose tissue recruit catabolic utilize chemical energy dissipate heat process occurs either uncoupled respiration uncoupling protein utilizing ATP-dependent cycles FCs pathways coexist since|
GSE162989|single-nucleus|Homo sapiens|9|GSE162989_cm_tpm_frozen_postfilter.csv.gz(25MB), GSE162989_cm_tpm_frozen_prefilter.csv.gz(47MB), GSE162989_metadata_frozen_postfilter.csv.gz(10KB), GSE162989_RAW.tar(19MB)|cancer,crispr_gene_editing|Single-cell/single-nucleus RNA-seq of diffuse hemispheric gliomas, H3G34-mutant.|part multi-omics CRISPR/Cas9-screen extensively characterize molecular basis DHG-H3G34 applied RNA-sequencing patient cohort fresh frozen untreated|
GSE220696|single-nucleus|Mus musculus|6|GSE220696_meta_detailedCellTypes_eGFP_CBP_KAT5.csv.gz(67KB), GSE220696_mm10_full_P244_eGFPmyc.gtf.gz(28MB), GSE220696_mm10_full_P244_eGFPmyc_masked.fa.gz(769MB), GSE220696_mm10_full_P245_KAT5myc.gtf.gz(28MB), GSE220696_mm10_full_P245_KAT5myc_masked.fa.gz(769MB), GSE220696_mm10_full_P246_CBPmyc.gtf.gz(28MB), GSE220696_mm10_full_P246_CBPmyc_masked.fa.gz(769MB), GSE220696_RAW.tar(5.7GB)|cancer,neuroscience,epigenetics,gene_regulation|Chromatin plasticity contributes to neuronal selection during memory allocation|refers process neurons recruited encoding ensemble store learned information recruitment regulated differences intrinsic excitability expression transcription factor CREB other forms influence|multiomics
GSE266291|single-nucleus|Homo sapiens|15|GSE266291_processed_rna.qs.gz(16.3GB), GSE266291_RAW.tar(11.2GB)|immunology,metabolism,epigenetics,cell_stress|Single cell RNAseq profiling of Human Pancreatic Islets across sex|driving differences cells unknown studying regulation represent unique avenue understand sex-specific heterogeneity failure diabetes race donors orthogonal series experiments RNA-seq scRNA-seq|
GSE232517|single-nucleus|Mus musculus|1|GSE232517_RAW.tar(9MB)|fibrosis_wound,skeletal_muscle,cell_stress|Single nuclei RNAseq of the bone fracture callus of Prss56-Nf1 KO mice|Periosteum deficiency affects regeneration especially case disorder congenital pseudarthrosis tibia CPT new mouse model caused inactivation boundary cap-derivatives Prss56Cre R26tdTom Nf1fl/fl|
GSE232516|single-nucleus|Homo sapiens|4|GSE232516_RAW.tar(111MB)|cell_stress|Single nuclei RNAseq of the human periosteum from patients with congenital pseudarthrosis of the tibia|CPT severe pediatric disorder affecting children characterized tibial bowing birth leading spontaneous fracture fibrous non-union presence biallelic inactivation NF1 gene site understand impact|
GSE230480|single-nucleus|Mus musculus|6|GSE230480_RAW.tar(615MB)|neuroscience|Microglia response upon demyelinating injury [snRNA-seq]|Following aged mice poor recovery young perforned white matter isolated old lesion induction characterize transcriptomic signature glial cells particular focus|
GSE272434|single-nucleus|Mus musculus|9|GSE272434_deseq.txt.gz(3MB)|cardiovascular,eye_vision|Transcriptomic profiling of Schlemm’s canal cells reveals a lymphatic-biased identity and three major cell states|central intraocular pressure regulation requires much characterization distinct inner outer walls composed endothelial SECs different morphologies Recent anterior segment added important knowledge|
GSE254299|single-nucleus|Homo sapiens|5|GSE254299_RAW.tar(83MB)|cancer,immunology|Single-nuclei gene expression profiling of human SMARCB1-deficient peripheral T cell lymphomas|T-cell otherwise specified PTCL-NOS heterogeneous group malignancies poor outcome subgroup characterized lack protein more common young patients under years age investigate cellular heterogeneity|
GSE272626|single-nucleus|Homo sapiens|266|GSE272626_RAW.tar(59MB)|neuroscience,cell_stress,signal_transduction|ALS molecular subtypes are a combination of cellular and pathological features learned by deep multiomics classifiers (postmortem spinal cord)|Amyotrophic Lateral Sclerosis complex syndrome multiple genetic causes wide variation disease presentation Despite general heterogeneity several common factors example nearly patients accumulations|
GSE272624|single-nucleus|Homo sapiens|289|GSE272624_RAW.tar(64MB)|neuroscience,cell_stress,signal_transduction|ALS molecular subtypes are a combination of cellular and pathological features learned by deep multiomics classifiers (postmortem cortex)|Amyotrophic Lateral Sclerosis complex syndrome multiple genetic causes wide variation disease presentation Despite general heterogeneity several common factors example nearly patients accumulations|
GSE271156|single-nucleus|Homo sapiens|6|GSE271156_RAW.tar(253MB)|neuroscience,cell_stress,signal_transduction|ALS molecular subtypes are a combination of cellular and pathological features learned by deep multiomics classifiers (snRNA-seq)|Amyotrophic Lateral Sclerosis complex syndrome multiple genetic causes wide variation disease presentation Despite general heterogeneity several common factors example nearly patients accumulations|
GSE270258|single-nucleus|Homo sapiens|16|GSE270258_RAW.tar(1.6GB)|development,cardiovascular|Abnormal circadian rhythms exacerbate dilated cardiomyopathy by reducing the ventricular mechanical strength|DCM etiological pathophysiological heterogeneity ACR related development animal models exploration clinical samples lacking Sleep apnea most common disease chose object explore ACR-DCM included|
GSE241213|single-nucleus|Mus musculus|40|GSE241213_bulk_counts.csv.gz(2MB), GSE241213_bulk_meta.data.csv.gz(1KB), GSE241213_sn_counts.csv.gz(83MB), GSE241213_sn_meta.data.csv.gz(142KB)|kidney,signal_transduction|Gene expression profile at bulk (24h, 48h & 72h) and single nucleus (24h) level of mouse right kidney post sham operation and unilateral nephrectomy.|driving remarkable ability remaining enlarge increase following removal contralateral pair elusive explore pathways compensatory renal hypertrophy comprehensive RNA-seq transcriptional kidneys mice|
GSE210206|single-nucleus|Homo sapiens|18|GSE210206_counts.txt.gz(676KB)|neuroscience,development,cell_stress|Single cell transcriptomics reveals distinct transcriptional responses to oxycodone and buprenorphine by iPSC-derived brain organoids from patients with opioid use disorder|epidemic represents national crisis most prescribed medications United States currently medication OUD pharmacotherapy Given extensive prescription opioids global essential understand modulate type|
GSE247340|single-nucleus|Mus musculus|6|GSE247340_RAW.tar(26MB)|neuroscience|Single-nucleus transcriptomic analysis of cortical tissue from WT and H2BE-KO young adult mice|Drop-seq profile transcriptional changes loss nuclei isolated cortex|
GSE246688|single-nucleus|Mus musculus|67|GSE246688_RAW.tar(2.6GB)|neuroscience,epigenetics|CUT&Tag, ATAC-seq, bulk RNA-seq and single-nucleus RNA-seq analysis of histone variant H2BE in cortical neurons|SuperSeries composed SubSeries listed|
GSE241718|single-nucleus|Mus musculus|6|GSE241718_RAW.tar(135MB)|immunology,metabolism,aging,skin|Dynamic analysis of mononuclear transcription profiles of fat in different parts of mice during aging|Adipose tissue shows changes single-nucleus RNA-seq map mouse subcutaneous SAT visceral VAT resolution showing differences sequencing method enabled restore major cell types white characterized|
GSE241275|single-nucleus|Mus musculus|2|GSE241275_RAW.tar(115MB)|immunology,metabolism,aging,skin|Dynamic analysis of mononuclear transcription profiles of fat in different parts of mice during aging|Adipose tissue shows changes single-nucleus RNA-seq map mouse subcutaneous SAT visceral VAT resolution showing differences sequencing method enabled restore major cell types white characterized|
GSE254626|single-nucleus|Mus musculus|2|GSE254626_RAW.tar(89MB)|immunology,metabolism,fibrosis_wound,cell_stress,signal_transduction,liver|Hepatic lipopolysaccharide binding protein uncouples inflammation from fibrosis in MAFLD|heterogenous spectrum disorder affecting population Inflammatory processes contribute various stages thought instigate reason targeting heavily nominated approach mitigating liver secreted plays|
GSE272085|single-nucleus|Mus musculus|2|GSE272085_RAW.tar(90MB)|cancer,skeletal_muscle,signal_transduction|A molecular pathway for cancer cachexia-induced muscle atrophy revealed at single nucleus resolution [scRNA]|prevalent often fatal wasting condition cannot fully reversed nutritional interventions central component syndrome whereby leads skeletal understood multi-omics muscles mouse model profiled changes|
GSE272083|single-nucleus|Mus musculus|31|GSE272083_RAW.tar(7MB)|cancer,skeletal_muscle,signal_transduction|A molecular pathway for cancer cachexia-induced muscle atrophy revealed at single nucleus resolution [Bulk_RNAseq]|prevalent often fatal wasting condition cannot fully reversed nutritional interventions central component syndrome whereby leads skeletal understood multi-omics muscles mouse model profiled changes|
GSE270896|single-nucleus|Mus musculus|8|GSE270896_RAW.tar(408MB)|cardiovascular,metabolism,signal_transduction|Molecular and Cellular Mechanisms of Heart Failure With Preserved Ejection Fraction|understand HFpEF functional outcome concurrent mechanic metabolic stresses applying transverse aortic constriction TAC lean C57Bl/6J HFrEF phenotype obese/diabetic Cg-Lepob/J ob/ob mice followed|
GSE216431|single-nucleus|Mus musculus|2|GSE216431_F4663_seq_template.xlsx(127KB), GSE216431_RAW.tar(130MB)|neuroscience|Gene expression profile of the amygdala from WT and Sema6d-/- mice at single cell level|highly expressed nucleus RNA sequencing snRNA-seq analyze|
GSE269926|single-nucleus|Homo sapiens|8|GSE269926_barcodes.tsv.gz(31KB), GSE269926_features.tsv.gz(237KB), GSE269926_matrix.mtx.gz(28MB), GSE269926_meta_data.tsv.gz(38KB)|metabolism,liver|Single nucleus RNA-sequencing integrated into risk variant colocalization discovers 17 cell-type-specific abdominal obesity genes for metabolic dysfunction-associated steatotic liver disease [scRNA-seq]|increases non-alcoholic fatty NAFLD now MASLD elucidate directional level biological association adipose bulk cis-expression quantitative trait locus eQTL Biobank genome-wide GWAS|
GSE269490|single-nucleus|Rattus norvegicus|8|GSE269490_RAW.tar(60MB)|neuroscience,infectious_disease,crispr_gene_editing,microbiology,gene_regulation|snRNA-seq dataset for "Reelin marks cocaine-activated striatal ensembles, promotes neuronal excitability, and regulates cocaine reward"|contains single-nucleus rat adult nucleus accumbens tissue treated CRISPRi machinery hSyn-driven dCas9-KRAB-MeCP2 fusion CRISPR sgRNA targeting lacZ bacterial gene mammalian genome non-targeting|
GSE271839|single-nucleus|Homo sapiens|6|GSE271839_counts_LINC01629_KD.tsv.gz(485KB)|cancer,cardiovascular,drug_response,microbiology,cell_stress|Atrial fibrillation variant-to-gene prioritization through cross-ancestry eQTL and single-nucleus multiomic analyses (bulk RNA-seq)|most common arrhythmia world linked morbidity mortality Despite advances treatment management important challenges patients Human genetics strong therapeutic candidates identification causal genes|
GSE238242|single-nucleus|Homo sapiens|14|GSE238242_RAW.tar(179MB), GSE238242_snAF.metadata.tsv.gz(73KB)|cancer,cardiovascular,drug_response,microbiology,cell_stress|Atrial fibrillation variant-to-gene prioritization through cross-ancestry eQTL and single-nucleus multiomic analyses|most common arrhythmia world linked morbidity mortality Despite advances treatment management important challenges patients Human genetics strong therapeutic candidates identification causal genes|multiomics
GSE254640|single-nucleus|Mus musculus|3|GSE254640_RAW.tar(263MB)|cancer,neuroscience,development,infectious_disease,drug_response|Long-term downregulation of SCN8A in mouse models of developmental and epileptic encephalopathy II|novo mutations voltage-gated sodium channel cause severe DEE Since pathogenic variants gain-of-function effects activity reduction expression effective therapeutic strategy previously described|
GSE235193|single-nucleus|Mus musculus|6|GSE235193_RAW.tar(566MB)|cancer,neuroscience,development,infectious_disease,drug_response|Long-term downregulation of SCN8A in mouse models of developmental and epileptic encephalopathy|novo mutations voltage-gated sodium channel cause severe DEE Since pathogenic variants gain-of-function effects activity reduction expression effective therapeutic strategy previously described|
GSE233134|single-nucleus|Mus musculus|8|GSE233134_aggr_atac_fragments.tsv.gz(2.3GB), GSE233134_aggr_atac_fragments.tsv.gz.tbi.gz(1018KB), GSE233134_aggr_barcodes.tsv.gz(53KB), GSE233134_aggr_features.tsv.gz(3MB), GSE233134_aggr_matrix.mtx.gz(402MB), GSE233134_Cell_Metadata.csv.gz(579KB), GSE233134_RAW.tar(3.6GB)|cancer,epigenetics|Gene expression and chromatin accessibility profile at single cell level of B16 cells [B16_D0_3_5_scMulti]|F10 depigmented mouse melanoma line considered homogeneous population cultured low density 100 cells/cm2 starts pigment progressively nucleus RNA ATAC sequencing scMultiomics analyze transciptional|multiomics
GSE271132|single-nucleus|Mus musculus|4|GSE271132_RAW.tar(221MB)|cardiovascular,eye_vision|Transcriptomic profiling of Schlemm’s canal cells reveals a lymphatic-biased identity and three major cell states|central intraocular pressure regulation requires much characterization distinct inner outer walls composed endothelial SECs different morphologies Recent anterior segment added important knowledge|
GSE269183|single-nucleus|Mus musculus|16|GSE269183_all.fpkm_anno.xls.gz(5MB)|neuroscience,infectious_disease,rna_biology,signal_transduction|Microglia contribute to polyG-dependent neurodegeneration in neuronal intranuclear inclusion disease II|NIID neurodegenerative caused GGC repeat expansion NOTCH2NLC Despite identification uN2CpolyG toxic polyglycine protein pathogenic Herein expressing wild-type expanded 100 repeats translating mutated|
GSE268950|single-nucleus|Mus musculus|5|GSE268950_RAW.tar(187MB)|neuroscience,infectious_disease,rna_biology,signal_transduction|Microglia contribute to polyG-dependent neurodegeneration in neuronal intranuclear inclusion disease|NIID neurodegenerative caused GGC repeat expansion NOTCH2NLC Despite identification uN2CpolyG toxic polyglycine protein pathogenic Herein expressing wild-type expanded 100 repeats translating mutated|
GSE262939|single-nucleus|Mus musculus|6|GSE262939_RAW.tar(663MB)|metabolism,aging,liver|Aging Promotes Metabolic Dysfunction-Associated Steatotic Liver Disease by Inducing Ferroptotic Stress|increases risk failure many metabolically-stressed organs exacerbates degeneration related obesity diabetes snRNA-seq identify effect MASLD biological hepatocyte|
GSE248697|single-nucleus|Mus musculus|6|GSE248697_RAW.tar(547MB)||single nucleus RNA-seq for mice septal area|characteirze cell types nuclues|
GSE271203|single-nucleus|Mus musculus|4|GSE271203_E12.5_all_genes.csv.gz(372KB), GSE271203_E12.5_cell_metadata.csv.gz(57KB), GSE271203_E12.5_DGE.mtx.gz(35MB), GSE271203_E9.5_all_genes.csv.gz(372KB), GSE271203_E9.5_cell_metadata.csv.gz(90KB), GSE271203_E9.5_DGE.mtx.gz(53MB)|immunology,development,metabolism,reproduction|Transcriptome Profile of Mouse Trophoblast Giant Cells:Effects of Oxycodone on these and other Placental Lineages|Pregnant women prescribed opioid drugs pain abuse key understanding opioids cause adverse pregnancy outcomes Maternal exposure mice leads disturbances layer invasive parietal pTGC forms interface|
GSE270728|single-nucleus|Mus musculus|120|GSE270728_RAW.tar(10.1GB)|neuroscience,metabolism,infectious_disease,crispr_gene_editing,liver|Analysis of striatal zinc finger protein (ZFP) repression of mutant Huntingtin (HTT) in the zQ175DN knock-in mouse model of Huntington's disease (snRNA-seq)|assessed relative efficacy selectively lowering mHTT striatum different intervention times human exon virally delivered transcriptional repressor directed against expanded CAG repeat gene Zeitler Nat|
GSE262400|single-nucleus|Mus musculus|3|GSE262400_RAW.tar(107MB)|development,signal_transduction|Hippo pathway-mediated YAP1/TAZ inhibition is essential for proper pancreatic endocrine specification and differentiation|order investigate effect endorince differentiaion single nucleus RNA seq mouse tissues Lats1 deletion NGN3 cells mice Wild type subject control|
GSE279918|single-nucleus|Mus musculus|12|GSE279918_RAW.tar(246MB)|metabolism,lung_respiratory|Gene expression profile at single cell level of lungs of adult male and female C57BL/6 mice with andwithout high-fat diet-induced obesity|various pathologies nucleus RNA sequencing formalin-fixed obtain insights|
GSE268675|single-nucleus|Mus musculus|6|GSE268675_RAW.tar(513MB)|immunology,neuroscience,infectious_disease,cell_stress|Neuroinflammation results in dysfunctional mitral cells and olfactory impairment|underestimated symptom multiple sclerosis pathogenic inflammation-induced bulb animal model experimental autoimmune encephalomyelitis EAE Reduced degeneration short-axon neurons immature together|
GSE249237|single-nucleus|Sus scrofa|2|GSE249237_RAW.tar(255MB)|development,metabolism,fibrosis_wound,cell_stress,liver|Cellular Communication Networks in Fibrosis: Single-nucleus Transcriptomic Insights from the MAFLD Pig Model|aim research reveal crosstalk liver transgenic pigs expressing humanized risk genes PNPLA3I148M-GIPRdn-hIAPP uses sequencing differentiation interaction characteristics various populations|
GSE229676|single-nucleus|Mus musculus|2|GSE229676_RAW.tar(130MB)|immunology,development,epigenetics,infectious_disease|Zfp362 potentiates inflammatory T cell responses independent of Th17 cell differentiation|cells play important mucosal barrier integrity pathogen clearance implicated autoimmune disorders Recently described DNA methylation profile Zinc finger protein among genes uniquely demethylated Yang|
GSE218941|single-nucleus|Mus musculus|6|GSE218941_RAW.tar(234MB)|metabolism|Transcriptional profiling of mature murine adipocytes of the inguinal white adipose tissue depot following LPCAT3 deletion and dietary PUFA manipulation [snRNA-seq]|analyze contribution PUFAs expression modulating transcriptome|
GSE173242|single-nucleus|Mus musculus|9|GSE173242_RAW.tar(444MB)|immunology,neuroscience,signal_transduction|The neuroinflammatory interleukin-12 signaling pathway drives Alzheimer's disease-like pathology by perturbing oligodendrocyte survival and neuronal homeostasis|Central AD-related neuroinflammation proinflammatory IL-12 IL-23 whose inhibition attenuate cognitive defects AD-like mice order explore cell types cascade single-nuclei RNA sequencing APPPS1 lacking|
GSE284797|single-nucleus|Mus musculus|9|GSE284797_RAW.tar(496MB)|cancer,neuroscience,hematopoiesis,crispr_gene_editing,signal_transduction,liver|Astrocytic EphA4 signaling is important for the elimination of excitatory synapses in Alzheimer’s disease|Cell surface receptors erythropoietin-producing hepatocellular regulating hippocampal loss key driver memory decline cellular-specific expression elevated CA1 astrocytes conditions Specific knockout|
GSE284338|single-nucleus|Mus musculus|2|GSE284338_RAW.tar(181MB)|immunology,neuroscience,infectious_disease|Single cell RNA-Seq result of  spinal cord of AR-97Q mice and AR-24Q mice at 6 weeks|understand early pathogenesis SBMA systematically assess different cells conducted snRNA-seq genes related ion channel synapse up-regulated oligodendrocytes|
GSE285136|single-nucleus|Mus musculus|8|GSE285136_RAW.tar(3.7GB)|immunology,neuroscience,gut_intestine|Specialized enteric glial cells coordinate intestinal motility|predominant type nervous system identities gastrointestinal classified optimized single nucleus RNA-sequencing method distinct molecular classes defined morphological spatial diversity findings|
GSE267559|single-nucleus|Rattus norvegicus|17|GSE267559_Srd5a2_counts_matrix.csv.gz(311MB), GSE267559_Srd5a2_metadata.xlsx(23MB)|neuroscience,reproduction,cell_stress|The acute stress response is mediated by prefrontal 5α-reductase 2 in males via allopregnanolone synthesis|triggers rapid brain responses increased 5αR involvement enzyme elusive two major isoenzymes mRNA protein levels 5αR2 5αR1 medial cortex mPFC female rats Targeted downregulation markedly reduced|
GSE263682|single-nucleus|Mus musculus|3|GSE263682_RAW.tar(144MB)|immunology,neuroscience,cell_stress,signal_transduction|Integrated stress response associated with dark microglia contributes to neurodegeneration [snRNA-seq]|brain primary resident immune cells assume various phenotypes diverse functional outcomes homeostasis Alzheimer disease leading causal cell type identity subsets drive unresolved identify phenotype|
GSE265917|single-nucleus|Caenorhabditis elegans|4|GSE265917_final_ents_seurat.rds.gz(1.1GB), GSE265917_RAW.tar(236MB)|metabolism,reproduction|Single Nucleus RNAseq Dataset of Soma-Germline Nucleoside Transport in Regulating Reproduction in C. elegans|presents single-nucleus transcriptome Wild-type ent-1KO mutant ent-2KO ent-2KD mutants genes purine metabolism specifically up-regulated suggesting possible specificity ENT-1/2 transporting|
GSE278749|single-nucleus|Homo sapiens|2|GSE278749_all_expression_data.csv.gz(12MB), GSE278749_all_metadata.csv.gz(17KB)|cardiovascular,gut_intestine,hematopoiesis,eye_vision|Elevation of Granulocyte colony stimulating factor (G-CSF) in human AMD donor RPE-choroid|Single nuclei RNA sequencing choroidal endothelial cells fibroblasts primary cell types responsible increasing expression response mCRP organ cultures|
GSE275999|single-nucleus|Rattus norvegicus|6|GSE275999_RAW.tar(737MB)|neuroscience,metabolism,lung_respiratory,cell_stress|Neuronal Deficiency of Cytochrome c Oxidase Engineered by Mitochondrial DNA Editing Recapitulates Amyotrophic Lateral Sclerosis [snRNA-seq]|ALS categorized familial sporadic cases While space crowded mutations many genes diverse most ALS-associated faithfully disease phenotype animal models Remarkably nearly half patients exhibit|
GSE241349|single-nucleus|Mus musculus|6|GSE241349_RAW.tar(237MB)|neuroscience,signal_transduction|Single-nucleus RNA sequencing-based construction of a hippocampal neuron atlas in mice with epileptic memory impairment|utilized snRNA-seq explore transcriptional changes neurons drug-resistant disorder epilepsy analyzed inter-group heterogeneity subclasses focusing aspects cell communication gene expressions KEGG|
GSE268642|single-nucleus|Mus musculus|9|GSE268642_RAW.tar(679MB)|immunology,neuroscience,cardiovascular|Overexpression of brain endothelial mucin-type O-glycan biosynthesis promotes brain homeostasis in aged mice|AAV-mediated B3GNT3 reduces neuroinflammatory markers cognitive deficits perform snRNA-seq characterize cellular molecular changes induced|
GSE270386|single-nucleus|Mus musculus|4|GSE270386_RAW.tar(139MB)|neuroscience|Tau accumulation induces microglial state alterations in Alzheimer’s disease model mice (snRNA-seq, part 2)|Unique states postmortem brains documented amyloid relationship pathology incompletely understood because lack suitable models present generated novel mouse intracerebral administration purified|
GSE270385|single-nucleus|Mus musculus|2|GSE270385_RAW.tar(86MB)|neuroscience|Tau accumulation induces microglial state alterations in Alzheimer’s disease model mice (snRNA-seq, part 1)|Unique states postmortem brains documented amyloid relationship pathology incompletely understood because lack suitable models present generated novel mouse intracerebral administration purified|
GSE279567|single-nucleus|Sus scrofa|18|GSE279567_RAW.tar(1.2GB)|cancer,immunology,development,cardiovascular,skeletal_muscle,hematopoiesis,plant_biology,cell_stress,cell_cycle|Follistatin secreted by myocytes from hiPSCs results in cardiomyocyte cytokinesis in large mammal hearts with postinfarction LV remodeling|work generated new human induced-pluripotent stem cells derived-cardiomyocytes hiPSC-CM cell line Cyclin CCND2 cell-cycle activator overexpressed class I-II major histocompatibility complex knocked|
GSE276414|single-nucleus|Mus musculus|8|GSE276414_RAW.tar(868MB), GSE276414_scdata_52022cells.rds.gz(2.4GB)|neuroscience|Single-nucleus transcriptome sequencing reveals a specific neuronal subtype in the arcuate nucleus.|Over recent decades research established hypothalamus particularly central hub homeostatic control energy balance hypothalamic pivotal regulator containing anorexic proopiomelanocortin POMC neurons|
GSE279176|single-nucleus|Homo sapiens|4|GSE279176_RAW.tar(10MB)|neuroscience,development,metabolism,signal_transduction|Microglial SHIP1 controls synaptic pruning in the developing hippocampus via the complement system|INPP5D encodes lipid phosphatase one most common genes risk Alzheimer disease enriched central nervous highly expressed plaque-associated regulates influences brain physiology poorly amyloid beta|
GSE282112|single-nucleus|Homo sapiens|3|GSE282112_RAW.tar(690MB)|neuroscience,development,cardiovascular,metabolism,cell_stress|Single-nucleus RNA sequencing of human periventricular white matter in vascular dementia [scRNA-Seq]|Single-cell iPSC-derived microglia iMGL exposed normoxia hypoxia oxygen-glucose deprivation OGD hrs|
GSE282111|single-nucleus|Homo sapiens|8|GSE282111_RAW.tar(363MB)|cardiovascular|Single-nucleus RNA sequencing of human periventricular white matter in vascular dementia [snRNA-Seq]|comparing healthy age-matched controls patients|
